p-variable	p-treatment	p-interaction	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Dipodascaceae	0.463968803977994	0.334745401167406	0.654607813955144	0.79013149706647	0.679887122369139	0.981228503400236
Dysgonamonadaceae	0.519556516192548	0.00352759330741632	0.028745552310002	0.828887852422794	0.642928444923854	0.981228503400236
Ectothiorhodospiraceae	0.0628956922471464	0.0949972248564495	0.310420694202299	0.555675635295672	0.642928444923854	0.981228503400236
Eggerthellaceae	0.459502151228301	0.493769047752312	0.781439196474056	0.79013149706647	0.802713658323893	0.983061367593258
Egibacteraceae	0.26618746929373	0.214989105634209	0.344866161489921	0.636480280952301	0.648491728470401	0.981228503400236
Egicoccaceae	0.0440620629266	0.143957451467575	0.446438807836203	0.555675635295672	0.642928444923854	0.981228503400236
Elusimicrobiaceae	0.850017349994198	0.729433735092107	0.774390204737692	0.953906302401895	0.91547084535587	0.983061367593258
Emcibacteraceae	0.230949474697968	0.317689310004516	0.441464489297866	0.602376051118662	0.671414000004996	0.981228503400236
Endomicrobiaceae	0.496357425043485	0.772453990044974	0.617934136245896	0.803487679249277	0.925876265839745	0.981228503400236
Endozoicomonadaceae	0.86713759640684	0.348410006053106	0.727617669071053	0.95923838319955	0.680177762983802	0.983061367593258
Enterobacteriaceae	0.961790673743711	0.440980639027504	0.411867342587078	0.979664060717433	0.765475826236421	0.981228503400236
Enterococcaceae	0.387139129311646	0.778345000200243	0.374092563466167	0.739449132802866	0.925876265839745	0.981228503400236
Entomoplasmataceae	0.205849386375547	0.451077133612323	0.852109471293903	0.582596271268302	0.777665545658313	0.983592979190845
Erwiniaceae	0.448716940511915	0.317585061523312	0.512039468980912	0.79013149706647	0.671414000004996	0.981228503400236
Erysipelotrichaceae	0.651990583778404	0.312519635798772	0.343433742569871	0.884965661810297	0.671414000004996	0.981228503400236
Erythrobacteraceae	0.198582421555205	0.245136332644342	0.446566130466611	0.582596271268302	0.659252614125743	0.981228503400236
Eubacteriaceae	0.431768425247394	0.327259094434586	0.69141673541923	0.77717006111835	0.675539044283105	0.981228503400236
Euzebyaceae	0.0515418204824323	0.252103715958676	0.236229565915839	0.555675635295672	0.660112368731179	0.981228503400236
Ferrimonadaceae	0.243194809664189	0.716823811508368	0.725453694397874	0.61579603181024	0.913550697985918	0.983061367593258
Ferroplasmaceae	0.542180792004182	0.801764644525223	0.661290914606953	0.837435005010247	0.930606910877023	0.981228503400236
Fervidicoccaceae	0.589340847886608	0.102787808201434	0.951187647182482	0.839412400564549	0.642928444923854	0.995122447934649
Fervidobacteriaceae	0.277593825150794	0.594686277698545	0.606234238663623	0.641137202858737	0.87073428458779	0.981228503400236
Fibrobacteraceae	0.209094852216311	0.193584335238515	0.446751531621576	0.582931103148505	0.642928444923854	0.981228503400236
Fimbriimonadaceae	0.293828592659015	0.239634385656771	0.906915317893133	0.649633361172958	0.659252614125743	0.995122447934649
Flammeovirgaceae	0.973496445292694	0.436356408387077	0.456181526036346	0.983385239331319	0.763776072130677	0.981228503400236
Flavobacteriaceae	0.56025677180637	0.208125395382494	0.459538286831642	0.839412400564549	0.642928444923854	0.981228503400236
Francisellaceae	0.806212288106908	0.542307370652176	0.577464423909852	0.946162383537294	0.845631832203394	0.981228503400236
Frankiaceae	0.474818764750451	0.250242379411413	0.390247647547302	0.799989487210448	0.660112368731179	0.981228503400236
Fusobacteriaceae	0.179583878873681	0.0765136724466301	0.73089029516642	0.563240347376544	0.642928444923854	0.983061367593258
Gallionellaceae	0.225531997026997	0.293069157100098	0.569372376734941	0.602376051118662	0.663567784119803	0.981228503400236
Gemmataceae	0.14353248194275	0.244801888392493	0.347987970053968	0.555675635295672	0.659252614125743	0.981228503400236
Gemmatimonadaceae	0.0699435716928621	0.0661216972767407	0.225721125178707	0.555675635295672	0.642928444923854	0.981228503400236
Geobacteraceae	0.253513062924169	0.180718893594003	0.481762350161817	0.627530092978213	0.642928444923854	0.981228503400236
Geodermatophilaceae	0.103662601865213	0.113652207876325	0.429638146000752	0.555675635295672	0.642928444923854	0.981228503400236
Gloeobacteraceae	0.164879189967469	0.137433988687135	0.199845925371204	0.556466981538563	0.642928444923854	0.981228503400236
Gloeomargaritaceae	0.0853225807009914	0.413413473815004	0.480929638951776	0.555675635295672	0.743336278651083	0.981228503400236
Glomerellaceae	0.0640774484501038	0.14687929684613	0.252915096735135	0.555675635295672	0.642928444923854	0.981228503400236
Glycomycetaceae	0.0127511037411258	0.0217273039628396	0.0340980241546374	0.555675635295672	0.642928444923854	0.981228503400236
Gomontiellaceae	0.986965261153367	0.627601062345717	0.809359643204466	0.988756486672701	0.892477496580504	0.983061367593258
Gordoniaceae	0.125723768559993	0.0535683653151695	0.237480854422506	0.555675635295672	0.642928444923854	0.981228503400236
Gottschalkiaceae	0.8261462645386	0.531034404291665	0.824202053391254	0.949427463853648	0.835131028971508	0.983061367593258
Granulosicoccaceae	0.374692717957472	0.901114248419053	0.95186230476841	0.733262523241849	0.967733589741863	0.995122447934649
Hafniaceae	0.331248405168776	0.869944306177157	0.580640707578735	0.692610301716532	0.946282214240443	0.981228503400236
Hahellaceae	0.284005033899177	0.0493714307425507	0.146341193112956	0.642503191444039	0.642928444923854	0.981228503400236
Halanaerobiaceae	0.790198243870136	0.848281883374016	0.804429238381895	0.946162383537294	0.944055644400115	0.983061367593258
Halieaceae	0.509004489158226	0.369124236993169	0.428161350870605	0.819155912581168	0.700194428935496	0.981228503400236
Haliscomenobacteraceae	0.587711074391701	0.673712729882304	0.593850619945239	0.839412400564549	0.902644240036485	0.981228503400236
Haloarculaceae	0.05862593793626	0.0255730677426055	0.150986757932246	0.555675635295672	0.642928444923854	0.981228503400236
Halobacteriaceae	0.0825160911902111	0.107226463372358	0.131978544402096	0.555675635295672	0.642928444923854	0.981228503400236
Halobacteriovoraceae	0.68783665902095	0.94507437845563	0.831859953890354	0.913711174805111	0.983717213453912	0.983061367593258
Halobacteroidaceae	0.560179165204554	0.575324358202276	0.806727577346288	0.839412400564549	0.866889761793114	0.983061367593258
