p-variable	p-treatment	p-interaction	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Cellulomonadaceae	0.421570472580213	0.900296406834258	0.960950287936204	0.976817676561108	0.993622242825575	0.996263053940831
Cellvibrionaceae	0.956850429769717	0.0455828129092123	0.0513730910229822	0.987255022865203	0.990824850108649	0.994625559147417
Chaetomiaceae	0.908039518868029	0.49424641411307	0.50539668743214	0.980030492658725	0.990824850108649	0.994625559147417
Chamaesiphonaceae	0.364772114253272	0.691344581002358	0.70055068504796	0.976817676561108	0.990824850108649	0.994625559147417
Chelatococcaceae	0.263515088407113	0.652721358832826	0.718069511337158	0.976817676561108	0.990824850108649	0.994625559147417
Chitinophagaceae	0.846278839396304	0.354793720357934	0.352480831848809	0.976817676561108	0.990824850108649	0.994625559147417
Chlamydiaceae	0.495584301076485	0.39254089208678	0.333568433924524	0.976817676561108	0.990824850108649	0.994625559147417
Chlorobiaceae	0.544053485307268	0.271024038918207	0.270659063154816	0.976817676561108	0.990824850108649	0.994625559147417
Chloroflexaceae	0.779539267012551	0.343493340916989	0.369029474869523	0.976817676561108	0.990824850108649	0.994625559147417
Christensenellaceae	0.446105085657401	0.588582827716122	0.625711326563819	0.976817676561108	0.990824850108649	0.994625559147417
Chromatiaceae	0.653136884248091	0.620771182854061	0.609950444341292	0.976817676561108	0.990824850108649	0.994625559147417
Chromobacteriaceae	0.669806517411262	0.735406212046313	0.715302215047759	0.976817676561108	0.990824850108649	0.994625559147417
Chroococcaceae	0.566064159611008	0.701145603724389	0.724795506238326	0.976817676561108	0.990824850108649	0.994625559147417
Chroococcidiopsidaceae	0.933721128528943	0.187589506977901	0.182397059285053	0.982741367001135	0.990824850108649	0.994625559147417
Chrysiogenaceae	0.708007711796693	0.74861677500247	0.673511889884669	0.976817676561108	0.990824850108649	0.994625559147417
Chthonomonadaceae	0.82979115910828	0.573188906101982	0.5698765991575	0.976817676561108	0.990824850108649	0.994625559147417
Clavicipitaceae	0.395571563592156	0.381638278553556	0.366172954746535	0.976817676561108	0.990824850108649	0.994625559147417
Clostridiaceae	0.108752952168854	0.818607556267034	0.805900607364333	0.976817676561108	0.990824850108649	0.994625559147417
Clostridiales Family XIII. Incertae Sedis	0.302790048465055	0.593381646997433	0.592849064464549	0.976817676561108	0.990824850108649	0.994625559147417
